15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;455;;461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2515;466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3010;468;;472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3015;469;;470;;471;;473;;474;;475;;1361;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3510;488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4010;523;;524;;1116;;1100;;1120;;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4510;1124;;1125;;1126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4515;1128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4520;1129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5010;1130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5510;1137;;1138;;477;;1132;;1133;;1134;;1135;;;;;;;;;;;;;;;;;;;;;;;;;;
5515;1141;;1142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6010;1145;;1146;;1147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6015;1149;;1444;;1441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6020;1339;;1341;;1343;;1342;;1344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6025;1348;;1350;;1351;;1352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6030;1153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6035;1157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6040;1355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6050;490;;496;;501;;511;;517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6545;487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;